协议名称,协议值,备注,属性,类型,子类型,说明
C2S_WEBSOCKET_HELLO,0x100,websocket测试,msg,string16,,
S2C_WEBSOCKET_HELLO,0x100,websocket测试,msg,string16,,
S2C_MERGE_PACKET,0x101,合并小包,packets,list8,byte8,多个小包合并成一个包(主要用于战斗优化)
,,,,,,
C2S_LOGIN_ASYN_TIME,0x111,同步时间,time,uint32,,客户端时间
,,,sign,string16,,验证标记
C2S_LOGIN,0x113,登录,clientver,version,,版本信息
,,,scriptver,version,,版本信息
,,,productver,version,,版本信息
,,,account,string8,,账号
,,,pwd,string8,,密码
,,,platform,int8,,平台类型（Android IOS等）
,,,client_type,int32,,客户端类型（官方 渠道等）
,,,device,string8,,设备名称
,,,ret_session,int8,,暂时不知道是干啥的
,,,token,string16,,登录令牌
,,,hwinfo,string8,,硬件信息
,,,idfa,string8,,IOS广告标识
C2S_LOGIN_SESSION,0x120,重登,pid,uint32,,
,,,session,byte16,,
C2S_LOGIN_GM,0x121,GM登录,account,string8,,账号
,,,pwd,string8,,角色
C2S_LOGIN_SELECTROLE,0x114,进入游戏,rid,int32,,
C2S_LOGIN_CLIENTREADY,0x115,客户端加载资源完成,,,,
C2S_LOGIN_CREATEROLE,0x116,创建角色,cls,int8,,
,,,shape,int16,,
,,,name,string8,,
,,,rolenum,int8,,
C2S_LOGIN_DELETEROLE,0x117,删除角色,rid,int32,,
C2S_LOGIN_RESTOREROLE,0x118,恢复角色,rid,int32,,
C2S_ACCOUNT_GUEST,0x11a,创建游客账号,,,,
,,,,,,
S2C_SYSTEM_VERSION,0x110,,testtime,int8,,是否服
,,,clientver,version,,版本信息
,,,scriptver,version,,版本信息
,,,productver,version,,版本信息
S2C_ASYNTIME,0x111,同步时间,time,uint32,,
,,,srvtime,uint32,,
S2C_LOGIN,0x112,登录失败,errcode,int8,,
,,,errmsg,string16,,
S2C_LOGIN_OK,0x113,登录成功,flag,int8,,能否使用友情码
S2C_LOGIN_ROLEINFO,0x114,角色信息,roles,list8,role,
S2C_LOGIN_SELECTROLE,0x115,通知客户单载入,,,,
S2C_LOGIN_DELETEROLE,0x116,删除角色,rid,int32,,
S2C_LOGIN_RELOGIN,0x117,顶号通知,,,,
S2C_LOGIN_SESSION,0x118,重登失败,err,uint8,,
S2C_LOGIN_UPDATESESSION,0x119,更新重登凭证,session,string16,,
S2C_ACCOUNT_GUEST,0x11a,游客账号信息（客户端存本地）,account,string8,,账号
,,,pwd,string8,,密码
S2C_OPENTIME,0x120,开服时间,opentime,uint32,,
S2C_SERVER_INFO,0x128,服务器信息,srvid,int16,,当前服务器ID
,,,srvname,string8,,当前服务器名
,,,opentime,uint32,,开服时间
S2C_ACCOUNT_INFO,0x129,账号信息,aid,int32,,账号ID
,,,qudao,string8,,渠道
S2C_PROTOCOL_DESC,0x121,服务器协议,ptypes,list8,ptyperow,协议基础类型
,,,cusptypes,list16,protocoltype,协议扩展类型
,,,c2sprotocols,list16,protocoldesc,c2s协议
,,,s2cprotocols,list16,protocoldesc,s2c协议
S2C_CLIENT_COMMAND,0x122,执行客户端指令,msg,string16,,客户端命令（含&）
C2S_CLIENT_SETTING,0x123,纯客户端设置,setting,byte8,,
S2C_CLIENT_SETTING,0x123,纯客户端设置,setting,byte8,,
C2S_SERVER_SETTING,0x124,需要服务器处理的设置,autosmelt,int8,,自动熔炼（0 关闭，1 开启）
S2C_SERVER_SETTING,0x124,需要服务器处理的设置,autosmelt,int8,,自动熔炼（0 关闭，1 开启）
C2S_ROLE_RENAME,0x125,角色改名,name,string8,,
C2S_CHANGE_SIGN,0x126,修改签名,sign,string8,,
S2C_ROLE_FREERENAME,0x125,角色免费改名次数,freecnt,int8,,免费改名次数
S2C_SERVER_ONDAY,0x127,服务器过天,hour,int8,,整点（0 表示过0点，5表示过5点）
,,,,,,
C2S_MAP_MOVE,0x140,角色移动,x,int16,,起始X坐标
,,,y,int16,,起始Y坐标
,,,step,list8,uint8,路径，每个字节表示相对偏移，合法值1-8
C2S_MAP_PICK,0x141,拾取,id,int32,,对象ID
,,,,,,
S2C_MAP_TRACK,0x42,场景单位移动，由底层引擎发送,id,int32,,对象ID
,,,x,int16,,起始X坐标
,,,y,int16,,起始Y坐标
,,,dx,int8,,目的X坐标
,,,dy,int8,,目的Y坐标
S2C_MAP_DEL,0x43,删除场景单位，由底层引擎发送,id,byte,,对象ID
,,,,,,
S2C_MAP_ADDPLAYER,0x140,添加场景角色,id,int32,,对象ID
,,,shape,int16,,造型
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
,,,desc,byte8,,描述
,,,name,string8,,名字
S2C_MAP_ADDNPC,0x141,添加场景NPC,id,int32,,对象ID
,,,sid,int32,,SID
,,,shape,int16,,造型
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
,,,dir,int8,,方向
,,,desc,byte8,,描述
,,,name,string8,,名字
S2C_MAP_ADDGOODS,0x142,添加场景物品,id,int32,,对象ID
,,,shape,int16,,造型
,,,x,int16,,X坐标
,,,y,int16,,Y坐标
,,,owners,list8,int32,物品拥有者
,,,name,string8,,名字
S2C_MAP_ADDSUMMON,0x143,添加场景跟随宠物,pid,int32,,角色ID
,,,id,int16,,宠物SID
,,,shape,int16,,造型
,,,quality,int8,,品质
,,,desc,byte8,,描述
,,,name,string8,,名字
S2C_MAP_DELSUMMON,0x148,删除场景跟随宠物,pid,int32,,角色ID
,,,id,int16,,宠物ID
S2C_MAP_ADDPARTNER,0x149,添加场景跟随仙侣,pid,int32,,角色ID
,,,id,int16,,仙侣SID
,,,shape,int16,,造型
,,,quality,int8,,品质
,,,desc,byte8,,描述
,,,name,string8,,名字
S2C_MAP_DELPARTNER,0x14a,删除场景跟随仙侣,pid,int32,,角色ID
,,,id,int16,,仙侣SID
